"Gene"	"sample01"	"sample02"	"sample03"	"sample05"	"sample06"	"sample07"	"sample08"	"sample09"	"sample10"	"sample11"	"sample12"	"sample13"	"sample14"	"sample15"	"sample16"	"sample17"	"sample18"	"sample19"	"sample20"	"sample21"	"sample22"	"sample23"	"sample24"	"sample25"	"sample26"	"sample27"	"sample28"	"sample29"	"sample30"	"sample31"	"sample32"	"sample33"	"sample34"	"sample35"	"sample36"	"sample37"	"sample38"	"sample39"	"sample40"	"sample41"	"sample42"	"sample43"	"sample44"	"sample45"	"sample46"	"sample47"	"sample48"	"sample49"	"sample50"	"sample51"	"sample52"	"sample53"
"ABCB1"	44.1539281839581	38.9237441975002	26.4720309525365	32.4268887088529	41.8896370361711	34.0314617228821	55.8321832358456	61.5402591324304	77.7080702508395	41.9283793072687	46.0714904284197	32.3049543865635	49.5246402187034	49.3626083986403	38.355975255488	44.4308709472328	69.7786825049201	43.7183295148444	58.2270346568139	48.6790561491819	48.4471090020213	95.8909529424012	58.3302001288184	48.4043730168178	72.2814247445228	41.5020566271926	50.59614773332	53.4553601158723	47.4548348616382	40.2646922508086	33.3147854330619	41.9528523747842	49.6327424059785	51.2593104548907	69.141776732999	50.3682983706544	72.499993687634	53.6527809922641	27.6361457484594	30.0663229686665	39.8830792282273	49.8956711013583	46.3615170473792	49.6256487424755	35.928350413778	35.7251288820008	39.5148835718932	38.1033224371954	50.2669437005793	60.9251659414747	75.6719778623439	47.9867614450758
"ABCF1"	196.12693641791	216.8720622511	199.638821428554	241.62021336267	230.399625519528	239.965088404472	280.743662478653	273.975083779532	175.626622551608	183.855943262373	187.690083443593	161.977041294229	179.253964657345	174.872740878722	136.734541148011	148.108282848803	139.55736500984	121.187209415149	139.76821398589	204.403356770415	163.242533782311	169.982352900156	163.353725460756	182.67810376547	141.412746856598	159.815611942526	174.785101145855	183.720133233796	191.361621579556	185.841687083607	203.003645036362	226.797119938083	193.995644052608	169.104465190684	167.076373748675	185.304969705638	208.784453039944	272.524957098222	252.635826359541	220.807075881887	198.258786843518	259.453272003386	218.362745293156	273.387698922297	165.89915803562	201.816256328001	209.120509066498	230.353635794065	221.580749807402	258.917379852717	240.547425194929	284.969382841583
"ABL1"	29.7741853216842	37.0732196949599	26.4720309525365	38.9236643025422	26.4872823497762	27.0520363456932	32.3009448862283	33.5918445046018	41.9588758710657	41.9283793072687	35.6452537163789	32.3049543865635	40.0522767640141	42.3131012135384	31.1078469225369	40.7350229824975	49.2439537790544	43.7183295148444	72.7921257529946	48.6790561491819	48.4471090020213	54.1603800860781	58.3302001288184	48.4043730168178	48.8388005030559	38.4634445108365	45.99331589179	47.5158756585532	47.4548348616382	40.2646922508086	47.7567449182942	41.9528523747842	46.5161597056968	51.2593104548907	48.7600682179118	50.3682983706544	38.8219511044894	33.1599388085687	27.6361457484594	30.0663229686665	54.7794093199701	42.1772367720695	46.3615170473792	49.6256487424755	35.928350413778	35.7251288820008	42.8137667739024	38.1033224371954	40.6197524853166	38.8677294682455	37.2768363853911	47.9867614450758
"ADA"	65.723542477369	68.5791834712604	62.5137010944149	63.2438308341819	26.4872823497762	79.9928714742149	58.9330739449235	51.6138690813206	110.352423884967	66.8548008054399	78.4908486834663	63.8830472994293	87.2739110687866	54.9990025261363	68.3594936122749	68.4942304032169	49.2439537790544	76.1791891796163	33.3297279088803	127.758182863528	59.8079560629953	54.1603800860781	58.3302001288184	168.640835590593	109.984978732882	56.0412386522888	80.4883028106325	103.560850997817	47.4548348616382	76.6639740455395	71.6434460737995	93.5338843695813	67.6810123717888	77.4015587868849	60.4868646243196	79.1034125911128	84.0883460923241	87.9733176591327	99.7941222976867	116.582167311004	54.7794093199701	93.8021745810827	106.515585416354	49.6256487424755	126.611506858154	85.722753970914	49.3971902074774	103.488623739423	96.8171800487522	112.696981593178	83.7796897761665	118.74324119584
"AGER"	61.6067612547019	42.6404756136193	42.3420135085821	53.5129147585463	52.3653572055075	49.3564403127173	49.6304018176898	45.6681126040061	29.0172032303359	54.9261768925219	35.6452537163789	32.3049543865635	68.409288712936	49.3626083986403	53.3499574721508	53.6946994701938	85.6352356217756	43.7183295148444	64.0597370408679	48.6790561491819	56.5619997598599	54.1603800860781	58.3302001288184	73.7682644776302	66.0056388798801	51.8871866451184	50.59614773332	78.4962265879299	47.4548348616382	40.2646922508086	47.7567449182942	41.9528523747842	46.6091920251082	51.2593104548907	48.7600682179118	50.3682983706544	38.8219511044894	57.9304130985695	35.374266558028	43.8817983727687	39.8830792282273	42.1772367720695	46.3615170473792	49.6256487424755	35.928350413778	39.2888640972569	47.7477486064727	38.1033224371954	50.2669437005793	76.1418820282928	37.2768363853911	47.9867614450758
"AHR"	294.712250133963	198.33545240362	88.721011737426	170.269660351275	117.298929885984	78.2885931844362	128.735415844063	133.023704238223	155.416140501679	169.537401728941	80.2018208618525	32.3049543865635	198.138613151578	97.3121037396747	73.3678569668033	55.5345539155206	142.733600028589	96.9672548639248	87.3572168491753	135.060041285905	169.710222834081	169.982352900156	186.685805512283	217.81967857568	223.120060098211	143.2186356361	96.58946362511	121.925736939847	191.361621579556	134.725660271205	85.9688038100161	107.630042767509	171.435306595345	137.579989260927	201.647262115174	189.838116558997	194.284454302417	148.059126780259	90.9505556581797	108.34399481759	146.091719212996	169.636846297264	186.396479288988	224.580873384073	130.976801433428	130.365998563999	80.679208744791	92.3624535877616	93.1004726963457	109.665298694655	113.507966793516	142.47269473043
"AKT3"	2831.04086742724	2337.4163180519	5121.96738088247	5498.99338940678	6476.40540734378	5670.63433276604	5033.21398453431	6595.389158189	3627.49861023075	4297.93141346053	5891.85745466084	7476.12561147888	3155.95919989725	4318.23263249953	7048.12043116265	7397.8449166958	8560.91363262727	11195.1275121843	4399.64073801988	3795.94411945706	5503.68847684763	6368.06916976089	9609.08384842103	12563.0645902769	6624.71467483677	5574.93011084515	4103.03080833449	4483.05159457101	7741.5919399882	8420.61548744997	4922.07631641501	3745.25699005411	5410.66666464724	5841.71605668116	6686.10245421061	7677.06048520759	9514.60024254158	6609.09082396642	4064.98686006801	2866.43303286376	4213.2086065907	7759.66257823342	8633.04763166804	9744.71570249183	2182.89878608991	3986.16950335811	2529.12466424649	3186.99999196946	5249.10782479129	4791.41935019796	5662.1091475044	4488.10582443505
"ALAS1"	159.162879665089	159.41170820612	181.49224421059	150.807828200003	127.77465005532	251.88151041475	125.634525134985	115.152842961775	362.134696314592	136.099519231394	93.8539530352256	159.699542009977	143.88780427472	108.584891994667	125.053544628598	155.516117852356	155.413918126696	90.037899635822	151.416953890043	220.832538220764	174.554933734283	156.902621109368	151.687685434992	87.8297348390158	172.840514980315	139.064583628929	160.99410688302	180.394021937697	173.969424602765	146.342023985564	138.522877830671	149.918517961291	159.410879311423	114.66707748759	152.667773590282	142.365995344655	139.196105685147	83.679105583423	122.524852175795	307.217688093834	146.091719212996	107.762839952638	117.155553578727	49.6256487424755	170.264452610894	96.4315149625703	172.890165726171	242.584802296404	154.55815820663	134.01593120651	94.5899723279299	142.47269473043
"ALOX12"	28.9914170610362	31.3648220769542	26.4720309525365	45.4061925813331	56.5503478167722	27.0520363456932	41.878175044995	55.5945026551159	29.0172032303359	41.9283793072687	35.6452537163789	32.3049543865635	68.409288712936	66.2878488840556	31.1078469225369	46.2868644666414	49.2439537790544	69.2498339515135	33.3297279088803	100.376213779613	48.4471090020213	54.1603800860781	58.3302001288184	48.4043730168178	72.2814247445228	56.0412386522888	55.19897957485	75.1701152918312	47.4548348616382	40.2646922508086	81.2047894930883	53.8045331706607	46.5161597056968	51.2593104548907	48.7600682179118	76.8368391644333	60.8922303073916	77.2460774545607	27.7881445500759	30.0663229686665	65.2287760777657	71.8489228412205	46.3615170473792	49.6256487424755	35.928350413778	42.870154658401	28.6859408870368	38.1033224371954	40.6197524853166	38.8677294682455	37.2768363853911	47.9867614450758
"ALOX15"	282.390897883023	266.914635874881	108.892699323259	150.807828200003	282.764982725036	243.373644984029	314.869610750953	764.365625779961	217.585498422674	169.537401728941	122.8513669335	102.665145040499	143.88780427472	86.0232573817553	66.6952238019191	111.085246905123	700.98768204484	536.729931453744	232.941468355164	573.04984898817	796.858048865247	727.915508356889	764.300612287907	1022.3245603017	223.120060098211	147.37268764327	103.502462018282	312.345608641499	115.979616401844	134.725660271205	71.6434460737995	238.313177914961	566.938954493032	303.839562721364	325.522215422779	259.900419592577	388.588319580387	251.053896719673	149.055552094316	540.366989554359	245.221112634755	920.054242945925	644.42508695857	400.33010840555	397.27773470035	814.374940396627	340.832006649328	237.021717220574	903.098957006045	1312.83529824893	1286.47953891442	1412.92220398881
