Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory  Tregs ,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P value,Correlation,RMSE
sample01,0,0.061786257,0.029214597,0.031928062,0.105179212,0.000632092,0.158317219,0,0,0.032581142,0.074756542,0,0.051198216,0.237792787,0.000851809,0,0,0,0.047893711,0,0.047227804,0.120640548,0,0.802607968,0.704742754
sample02,0,0.039599921,0.040994015,0.047983136,0.109789729,0.040824837,0.168758502,0,0,0.00724822,0.097018029,0,0.083153347,0.234311973,0.008530084,0,0,0,0.039187619,0,0.048314458,0.03428613,0.001,0.734772451,0.740119097
sample03,0,0.058628391,0,0.024416119,0.12215045,0,0.177889,0,0,0.066731331,0.068729077,0,0.234292352,0.068802868,0.019093654,0,0,0,0.049341952,0,0.000580166,0.10934464,0.002,0.687352255,0.783305584
sample05,0,0.074696649,0.03034588,0.044423108,0.195801835,0,0.222685658,0,0,0.035762194,0.069262376,0,0.148509138,0.038398369,0,0,0,0.010420197,0.044069243,0,0,0.085625354,0,0.759031888,0.728362979
sample06,0,0.092869429,0.006283267,0.027631159,0.193548878,0,0.187058093,0,0,0.038728299,0.09374736,0,0.191167066,0.036508901,0.005904643,0,0,0.000846414,0.027267243,0,0,0.098439247,0.001,0.700452418,0.76140312
sample07,0,0.028856059,0.01457232,0.003681403,0.179470308,0,0.166343454,0,0,0.001996959,0.090423411,0,0.144124083,0.107891816,0.001547215,0,0,0,0.04331879,0,0,0.217774182,0.004,0.670591025,0.785331917
sample08,0,0.053024771,0.02230846,0.052136364,0.232271606,0,0.208866245,0,0,0.01154882,0.097023053,0,0.199898496,0.029714709,0,0,0,0.003772486,0.026966306,0,0,0.062468683,0,0.775560741,0.709019685
sample09,0,0.029710316,0.067685465,0.055782844,0.239387661,0,0.242641116,0,0,0.035835892,0.093262588,0,0.161352631,0.019507149,0,0,0.001801721,0.001252065,0.041538243,0,0.005942251,0.004300058,0,0.776590877,0.696943325
sample10,0.00712228,0,0.028953028,0.009862523,0.139193333,0,0.17316869,0,0,0.087485237,0.086230835,0,0.120873042,0.096850151,0.003527123,0,0,0,0.049995946,0,0.009333825,0.187403987,0.001,0.706686307,0.757468866
sample11,0,0.077372735,0.011141919,0.057936514,0.151967761,0,0.223339383,0,0,0.052778797,0.114273275,0,0.104156575,0.024902881,0,0,0,0.003313012,0.020496443,0,0,0.158320703,0,0.76527119,0.702260577
