Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
ABCB1,30.46,24.82,20,22.76,31.63,25.16,34.57,36.64,53.56,20,25.85,20,24.73,30.74,24.66,27.53,28.34,20,34.94,20,20,35.41,20,20,29.6,21.58,28.91,22.5,20,20,20,20,21.34,20,28.36,20,37.35,32.36,20,20,20,23.66,20,20,20,20.35,27.55,20,24.75,31.35,40.6,20
ABCF1,135.3,138.29,150.83,169.59,173.97,177.41,173.83,163.12,121.05,87.7,105.31,100.28,89.51,108.9,87.91,91.77,56.68,55.44,83.87,83.98,67.39,62.77,56.01,75.48,57.91,83.1,99.87,77.33,80.65,92.31,121.87,108.12,83.41,65.98,68.53,73.58,107.56,164.37,182.83,146.88,99.42,123.03,94.2,110.18,92.35,114.96,145.8,120.91,109.1,133.23,129.06,118.77
ABL1,20.54,23.64,20,27.32,20,20,20,20,28.92,20,20,20,20,26.35,20,25.24,20,20,43.68,20,20,20,20,20,20,20,26.28,20,20,20,28.67,20,20,20,20,20,20,20,20,20,27.47,20,20,20,20,20.35,29.85,20,20,20,20,20
ADA,45.34,43.73,47.23,44.39,20,59.14,36.49,30.73,76.06,31.89,44.04,39.55,43.58,34.25,43.95,42.44,20,34.85,20,52.49,24.69,20,20,69.68,45.04,29.14,45.99,43.59,20,38.08,43.01,44.59,29.1,30.2,24.81,31.41,43.32,53.06,72.22,77.55,27.47,44.48,45.95,20,70.48,48.83,34.44,54.32,47.67,57.99,44.95,49.49
AGER,42.5,27.19,31.99,37.56,39.54,36.49,30.73,27.19,20,26.2,20,20,34.16,30.74,34.3,33.27,34.78,20,38.44,20,23.35,20,20,30.48,27.03,26.98,28.91,33.04,20,20,28.67,20,20.04,20,20,20,20,34.94,25.6,29.19,20,20,20,20,20,22.38,33.29,20,24.75,39.18,20,20
AHR,203.31,126.47,67.03,119.51,88.57,57.88,79.71,79.2,107.12,80.87,45,20,98.94,60.6,47.17,34.41,57.97,44.36,52.42,55.49,70.06,62.77,64.01,90,91.37,74.47,55.19,51.32,80.65,66.92,51.61,51.31,73.71,53.68,82.71,75.38,100.09,89.3,65.82,72.07,73.26,80.44,80.41,90.51,72.91,74.26,56.25,48.48,45.84,56.43,60.9,59.38
AICDA,20,20,20,22.76,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AIRE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AKT3,1953.02,1490.47,3869.72,3859.67,4890.2,4192.39,3116.45,3926.78,2500.24,2050.13,3305.83,4628.47,1575.92,2689.13,4531.41,4583.81,3476.94,5121.48,2640.07,1559.58,2272.04,2351.56,3294.72,5190.88,2712.89,2898.82,2344.42,1886.97,3262.72,4182.63,2954.89,1785.46,2326.36,2279.28,2742.45,3048.37,4901.66,3986.19,2941.79,1906.74,2112.78,3679.55,3724.23,3927.29,1215.14,2270.63,1763.32,1672.82,2584.51,2465.5,3037.87,1870.56
ALAS1,109.8,101.65,137.12,105.85,96.48,186.22,77.79,68.56,249.6,64.92,52.66,98.87,71.85,67.62,80.4,96.36,63.12,41.19,90.86,90.73,72.06,57.94,52.01,36.29,70.78,72.31,91.99,75.93,73.32,72.69,83.16,71.47,68.54,44.74,62.62,56.53,71.71,50.47,88.67,204.36,73.26,51.1,50.54,20,94.78,54.93,120.54,127.33,76.1,68.96,50.75,59.38
ALOX12,20,20,20,31.87,42.7,20,25.93,33.1,20,20,20,20,34.16,41.28,20,28.68,20,31.68,20,41.24,20,20,20,20,29.6,29.14,31.54,31.64,20,20,48.75,25.65,20,20,20,30.51,31.37,46.59,20.11,20,32.71,34.07,20,20,20,24.42,20,20,20,20,20,20
