"Gene","logFC","padj","Significant","Regulation"
"BCL2L1",1.33170655264372,0.128944183377136,FALSE,"None"
"SHC1",0.547028552596116,0.162752986929393,FALSE,"None"
"SLC2A1",1.14677185158281,0.162752986929393,FALSE,"None"
"MAP4K4",1.33965416362306,0.162752986929393,FALSE,"None"
"ITGA5",-0.693785358076594,0.180564982542167,FALSE,"None"
"CD274",0.743132165525914,0.34950421220484,FALSE,"None"
"TAL1",1.10246020495334,0.377556351538526,FALSE,"None"
"GNAS",0.859072684428739,0.377556351538526,FALSE,"None"
"IFIT1",1.06986001549692,0.377556351538526,FALSE,"None"
"NFKB2",-0.516366909971368,0.377556351538526,FALSE,"None"
"PSMB7",0.38152064908472,0.377556351538526,FALSE,"None"
"OAZ1",1.02643710029339,0.441053880732049,FALSE,"None"
"TNFRSF13C",0.739611412879732,0.441053880732049,FALSE,"None"
"DDX50",0.775304597783373,0.441053880732049,FALSE,"None"
"FOS",-1.03224794228215,0.441053880732049,FALSE,"None"
"DOCK9",0.61963059760313,0.441053880732049,FALSE,"None"
"CCR3",0.868660942672211,0.441053880732049,FALSE,"None"
"C4B",-0.812699086325774,0.441053880732049,FALSE,"None"
"PSMC2",0.668485390765149,0.441053880732049,FALSE,"None"
"BIRC2",0.406859833135714,0.441053880732049,FALSE,"None"
"GNLY",1.59119976313751,0.441053880732049,FALSE,"None"
"IL11RA",-0.451537514785118,0.441053880732049,FALSE,"None"
"ZEB1",-0.65473612211432,0.441053880732049,FALSE,"None"
"ALOX15",1.05076766667737,0.441053880732049,FALSE,"None"
"CSF3R",-0.605227698693371,0.441053880732049,FALSE,"None"
"BCL3",-0.551002451452255,0.441053880732049,FALSE,"None"
"IL7R",-0.442944365371757,0.441053880732049,FALSE,"None"
"LEF1",-0.488087717509681,0.441053880732049,FALSE,"None"
"IL18R1",-0.431777040277998,0.441053880732049,FALSE,"None"
"USP9Y",0.700412360703361,0.441053880732049,FALSE,"None"
"UBB",0.744056913596292,0.441053880732049,FALSE,"None"
"CXCR1",-0.657022052419308,0.441053880732049,FALSE,"None"
"IRF7",-0.59434700868997,0.44507181564868,FALSE,"None"
"BTLA",-0.517275613819273,0.44507181564868,FALSE,"None"
"CCR7",-0.601991445570929,0.44507181564868,FALSE,"None"
"IL1RN",-0.560010245646107,0.44507181564868,FALSE,"None"
"IFNG",0.722743479686302,0.44507181564868,FALSE,"None"
"MAPKAPK2",0.432632016704385,0.44507181564868,FALSE,"None"
"SMAD5",-0.599937653660255,0.44507181564868,FALSE,"None"
"RELA",-0.468216673861249,0.44507181564868,FALSE,"None"
"CLEC4A",-0.688616665897261,0.44507181564868,FALSE,"None"
"MAP3K7",0.584272128702139,0.44507181564868,FALSE,"None"
"IL12RB1",0.524513000430648,0.44507181564868,FALSE,"None"
"JUN",-0.507128457971631,0.44507181564868,FALSE,"None"
"IL1R2",-0.742724864337228,0.44507181564868,FALSE,"None"
"CD59",0.375785401359977,0.44507181564868,FALSE,"None"
"CCL5",0.432547833287172,0.44507181564868,FALSE,"None"
"CCL4",-0.368853553791675,0.44507181564868,FALSE,"None"
"TNFSF12",0.584769328701257,0.44507181564868,FALSE,"None"
"ARG2",-0.580752559031529,0.44507181564868,FALSE,"None"
"CMA1",1.27633230113904,0.44507181564868,FALSE,"None"
"IL15",-0.579047929911349,0.44507181564868,FALSE,"None"
"SIGIRR",-0.361793970467756,0.44507181564868,FALSE,"None"
"BCL6",-0.51143269963616,0.44507181564868,FALSE,"None"
"CD9",-0.529372771444265,0.44507181564868,FALSE,"None"
"CD44",0.326180052619081,0.44507181564868,FALSE,"None"
"C5",0.785476023703842,0.44507181564868,FALSE,"None"
"CD81",0.373962806056745,0.44507181564868,FALSE,"None"
"IL1B",-0.600722073895279,0.469284191763488,FALSE,"None"
"TGFBI",-0.334202608933542,0.451670268504619,FALSE,"None"
"CD47",0.292731891516627,0.451670268504619,FALSE,"None"
"LITAF",-0.44608542162559,0.451670268504619,FALSE,"None"
"LTBR",-0.552637625253691,0.484444136754071,FALSE,"None"
"CEACAM8",-0.446428263025226,0.469284191763488,FALSE,"None"
"CXCR2",-0.665696730781153,0.469284191763488,FALSE,"None"
"IRF3",0.228697542737043,0.469284191763488,FALSE,"None"
"CCR4",-0.626484136610614,0.484444136754071,FALSE,"None"
"MX1",0.545244191703313,0.484444136754071,FALSE,"None"
"TLR4",-0.476491061171833,0.484444136754071,FALSE,"None"
"SIRPA",-0.425224953764895,0.484444136754071,FALSE,"None"
"CD14",-0.416720454585887,0.484444136754071,FALSE,"None"
"IL1RAP",-0.448083443378801,0.484444136754071,FALSE,"None"
"TNFRSF14",-0.520693870988339,0.484444136754071,FALSE,"None"
"IL6R",-0.532633641755252,0.484444136754071,FALSE,"None"
"REPS1",-0.239636983588422,0.484444136754071,FALSE,"None"
"ALAS1",-0.364223811941994,0.484444136754071,FALSE,"None"
"IL5RA",0.452154431663539,0.484444136754071,FALSE,"None"
"SOCS1",0.395924581493166,0.484444136754071,FALSE,"None"
"CEBPB",-0.398802802917452,0.484444136754071,FALSE,"None"
"LILRB4",0.389868388139221,0.484444136754071,FALSE,"None"
"HMGB1",0.648488797342894,0.484444136754071,FALSE,"None"
"TLR2",-0.849425227643509,0.484444136754071,FALSE,"None"
"SOCS3",-0.512100117725223,0.484444136754071,FALSE,"None"
"DPP4",-0.312509737274119,0.484444136754071,FALSE,"None"
"PTGIR",0.344545148650583,0.484444136754071,FALSE,"None"
"IL10RB",-0.192467879140011,0.484444136754071,FALSE,"None"
"GBP1",0.55015248031909,0.484444136754071,FALSE,"None"
"PRG2",1.0173942449975,0.484444136754071,FALSE,"None"
"CD163",-0.584160314776162,0.484444136754071,FALSE,"None"
"GZMH",0.65795891537628,0.484444136754071,FALSE,"None"
"MAP2K6",-0.393834226003036,0.484444136754071,FALSE,"None"
"JAK3",-0.429966619048875,0.484444136754071,FALSE,"None"
"KLRD1",0.485734782877257,0.484444136754071,FALSE,"None"
"MCL1",-0.273702940362192,0.484444136754071,FALSE,"None"
"RPS6KA5",0.309076319808781,0.484444136754071,FALSE,"None"
"GZMB",0.505300049207948,0.484444136754071,FALSE,"None"
"ABCF1",0.290477671186563,0.484444136754071,FALSE,"None"
"HSPB1",-0.44016844691432,0.498230752392104,FALSE,"None"
"CD36",-0.451133542407275,0.484444136754071,FALSE,"None"
"TLR1",-0.317158089464344,0.484444136754071,FALSE,"None"
"PRF1",0.517217591014257,0.484444136754071,FALSE,"None"
"NFKBIZ",-0.300728311797406,0.484444136754071,FALSE,"None"
"IRAK2",0.493098521455654,0.503531123249937,FALSE,"None"
"IFNGR1",-0.502719596289438,0.484444136754071,FALSE,"None"
"STAT5B",-0.296668184281495,0.484444136754071,FALSE,"None"
"IRF8",0.365641000834517,0.503531123249937,FALSE,"None"
"IFI44",0.617253782112984,0.504319354665716,FALSE,"None"
"FCGRT",-0.425057125452208,0.484444136754071,FALSE,"None"
"CEACAM6",0.338118934105613,0.500838545901414,FALSE,"None"
"CARD9",-0.417179222463805,0.506599731892723,FALSE,"None"
"MKNK1",0.402351676304827,0.504319354665716,FALSE,"None"
"IFIT3",0.445672852415211,0.484444136754071,FALSE,"None"
"IL28B",0.566682011941952,0.506599731892723,FALSE,"None"
"MAX",0.336563132117314,0.484444136754071,FALSE,"None"
"ZAP70",0.480118013596902,0.516003511007986,FALSE,"None"
"MS4A1",0.43929928211627,0.487659771899509,FALSE,"None"
"MS4A2",1.00163795129664,0.506599731892723,FALSE,"None"
"CX3CR1",0.592911491835308,0.484444136754071,FALSE,"None"
"MAPK8",0.373332469864895,0.516003511007986,FALSE,"None"
"IGF2R",-0.466270471844648,0.484444136754071,FALSE,"None"
"IL12RB2",0.440379095094597,0.516003511007986,FALSE,"None"
"CRADD",-0.394724151760855,0.516003511007986,FALSE,"None"
"RAG1",0.528565870708857,0.516003511007986,FALSE,"None"
"LTB",-0.350053210791732,0.500838545901414,FALSE,"None"
"MMP9",0.570272171466495,0.500838545901414,FALSE,"None"
"GZMA",0.603307601879854,0.504319354665716,FALSE,"None"
"CCR1",-0.415175603390214,0.516003511007986,FALSE,"None"
"MAP4K2",-0.249956510380689,0.506599731892723,FALSE,"None"
"IL1R1",-0.487560854505981,0.516003511007986,FALSE,"None"
"IL8",-0.568092942362339,0.503531123249937,FALSE,"None"
"CXCR3",-0.429546477877628,0.533447185005731,FALSE,"None"
"CD5",-0.368039159168251,0.516003511007986,FALSE,"None"
"CCBP2",0.390610461969883,0.516003511007986,FALSE,"None"
"TBX21",0.45301745562988,0.506599731892723,FALSE,"None"
"GZMK",0.239867882516817,0.504319354665716,FALSE,"None"
"TYROBP",-0.233087457085116,0.516003511007986,FALSE,"None"
"ATG5",0.244946038524269,0.516003511007986,FALSE,"None"
"LY96",-0.321720140374471,0.516003511007986,FALSE,"None"
"PTGFR",0.390505696877715,0.532705803458711,FALSE,"None"
"IL13RA1",-0.342625452728703,0.516003511007986,FALSE,"None"
"PRKCA",0.282408842220896,0.537384681935152,FALSE,"None"
"PLA2G4A",0.296614871646971,0.537384681935152,FALSE,"None"
"PSMD7",0.266975932659582,0.516003511007986,FALSE,"None"
"TRAF4",-0.378398587827739,0.55406752478862,FALSE,"None"
"TFRC",0.883020221235035,0.516003511007986,FALSE,"None"
"CD79B",0.483059610232265,0.55406752478862,FALSE,"None"
"MYL2",0.436164766956222,0.55406752478862,FALSE,"None"
"IL6ST",-0.21231068847613,0.516003511007986,FALSE,"None"
"CXCL3",-0.329569487736673,0.548927874738324,FALSE,"None"
"CLEC6A",0.41511320962321,0.548927874738324,FALSE,"None"
"TNFRSF17",0.27454982178249,0.55406752478862,FALSE,"None"
"MYC",-0.257177002399573,0.537384681935152,FALSE,"None"
"LILRA4",-0.314756343647594,0.560982040512733,FALSE,"None"
"ATG7",-0.329243964786501,0.56463405432431,FALSE,"None"
"RAF1",-0.188485701794431,0.539731861626872,FALSE,"None"
"SKI",-0.271857321261302,0.560982040512733,FALSE,"None"
"CUL9",-0.347290426036287,0.578569711581312,FALSE,"None"
"ENTPD1",-0.276566060218817,0.567107387508221,FALSE,"None"
"FASLG",0.421318674836818,0.578569711581312,FALSE,"None"
"FCGR1A",-0.412136079218024,0.539731861626872,FALSE,"None"
"CCL2",0.510648562740228,0.568042042606786,FALSE,"None"
"IKZF3",0.243891390282093,0.537384681935152,FALSE,"None"
"TNFSF8",-0.320390133158609,0.56463405432431,FALSE,"None"
"SMAD7",-0.341462129777076,0.589805751924287,FALSE,"None"
"NCF4",-0.525375232941629,0.539731861626872,FALSE,"None"
"PPBP",-0.298857207618324,0.615510764111377,FALSE,"None"
"MAPK3",-0.187147462945696,0.55406752478862,FALSE,"None"
"TLR8",-0.272528466772878,0.55608948911461,FALSE,"None"
"IL33",0.277492896383034,0.579756213508194,FALSE,"None"
"PPP1R12B",-0.290247625417733,0.608508027873343,FALSE,"None"
"C3AR1",0.578227910367293,0.608508027873343,FALSE,"None"
"NFKBIA",-0.227908786061581,0.55406752478862,FALSE,"None"
"CD1D",0.279823753873575,0.599042644786059,FALSE,"None"
"GRB2",0.144132130883245,0.555084013591309,FALSE,"None"
"HLA-C",-0.270310038031051,0.599466260563295,FALSE,"None"
"KIR2DL4",0.308620794433531,0.599042644786059,FALSE,"None"
"MAF",0.255824541185344,0.608508027873343,FALSE,"None"
"CFD",-0.238618137533216,0.55406752478862,FALSE,"None"
"PECAM1",-0.23487174219165,0.560982040512733,FALSE,"None"
"GATA3",-0.277182534099476,0.61013374195677,FALSE,"None"
"TRADD",-0.361604922930084,0.630003636962565,FALSE,"None"
"CLEC7A",-0.337650613661078,0.560982040512733,FALSE,"None"
"PTGS2",-0.440388087260319,0.571677398059949,FALSE,"None"
"PRKCD",-0.219471876951467,0.578569711581312,FALSE,"None"
"HRAS",0.288980974404214,0.623153430612129,FALSE,"None"
"PDCD1",0.337541870245984,0.623107309041391,FALSE,"None"
"CCRL2",-0.439980943117987,0.578569711581312,FALSE,"None"
"ICAM2",-0.15764864624798,0.560982040512733,FALSE,"None"
"CSF1",-0.29186359941651,0.640197519374446,FALSE,"None"
"CHUK",0.217114706532557,0.635119769136331,FALSE,"None"
"CFI",0.407498175518008,0.638946216507187,FALSE,"None"
"NOD1",-0.269497958381691,0.647800720837108,FALSE,"None"
"CTSS",-0.198817693064687,0.593680905648597,FALSE,"None"
