"Gene","logFC","padj","Significant","Regulation","Timepoint"
"C4B",-1.24480309825853,0.150897365150247,FALSE,"No difference","Baseline"
"FCGR3",1.08781448525343,0.160686195184154,FALSE,"No difference","Baseline"
"TOLLIP",-1.03341362578521,0.160686195184154,FALSE,"No difference","Baseline"
"IL18",-0.903033467174558,0.160686195184154,FALSE,"No difference","Baseline"
"STAT1",0.859835142580625,0.160686195184154,FALSE,"No difference","Baseline"
"IFIT3",2.0795619282633,0.160686195184154,FALSE,"No difference","Baseline"
"IFI44",3.08400591417599,0.160686195184154,FALSE,"No difference","Baseline"
"NFE2L2",-0.634228542507207,0.160686195184154,FALSE,"No difference","Baseline"
"GBP1",1.44381452275292,0.160686195184154,FALSE,"No difference","Baseline"
"CYBB",0.872215261689968,0.160686195184154,FALSE,"No difference","Baseline"
"STAT2",1.09443085580305,0.160686195184154,FALSE,"No difference","Baseline"
"TAP1",0.633448592658199,0.160686195184154,FALSE,"No difference","Baseline"
"OAS2",1.15603690074502,0.160686195184154,FALSE,"No difference","Baseline"
"IFIT2",1.68417396067019,0.160686195184154,FALSE,"No difference","Baseline"
"C9",-1.12905128614674,0.160686195184154,FALSE,"No difference","Baseline"
"ATG10",-0.736156152089727,0.160686195184154,FALSE,"No difference","Baseline"
"CDC42",-0.625667956523996,0.160686195184154,FALSE,"No difference","Baseline"
"CD36",-0.641293891242113,0.160686195184154,FALSE,"No difference","Baseline"
"IFIH1",1.1009535969769,0.160686195184154,FALSE,"No difference","Baseline"
"MAP2K4",-0.600182469948543,0.160686195184154,FALSE,"No difference","Baseline"
"CMKLR1",-1.00512239124496,0.16681477767745,FALSE,"No difference","Baseline"
"OASL",1.12758921886192,0.16681477767745,FALSE,"No difference","Baseline"
"PDGFB",-1.06103155645058,0.16681477767745,FALSE,"No difference","Baseline"
"OAS3",1.49028557926477,0.16681477767745,FALSE,"No difference","Baseline"
"KLRC1",-0.721661874250588,0.16681477767745,FALSE,"No difference","Baseline"
"APOE",-1.13620827444532,0.16681477767745,FALSE,"No difference","Baseline"
"MX2",1.16132942880191,0.16681477767745,FALSE,"No difference","Baseline"
"TGFB2",-1.00601122037217,0.16681477767745,FALSE,"No difference","Baseline"
"NOTCH2",0.672817261225948,0.16681477767745,FALSE,"No difference","Baseline"
"TBP",0.816584489944518,0.168868396545305,FALSE,"No difference","Baseline"
"IL29",-0.925237481192127,0.168868396545305,FALSE,"No difference","Baseline"
"CASP1",0.596965118670131,0.16681477767745,FALSE,"No difference","Baseline"
"BID",-0.438761326473688,0.173586334388034,FALSE,"No difference","Baseline"
